,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales,Item_Outlet_Sales_Predicted
0,FDW58,OUT049,1636.2440232435586,1745.3542314729639
1,FDW14,OUT017,1409.3559100050632,1745.3542314729639
2,NCN55,OUT010,710.594286492863,700.9630571208847
3,FDQ58,OUT017,2355.184955354296,2679.3459065892944
4,FDY38,OUT027,5857.916204534556,5433.756941314657
5,FDH56,OUT046,1853.2288274714374,1745.3542314729639
6,FDL48,OUT018,733.5982815649983,975.8248691725796
7,FDC48,OUT027,2273.4251512914398,2659.3513632292406
8,FDN33,OUT045,1499.740110764301,1745.3542314729639
9,FDA36,OUT017,3203.5823024540387,2679.3459065892944
10,FDT44,OUT017,1901.548072610488,1745.3542314729639
11,FDQ56,OUT045,1360.7580862359687,1745.3542314729639
12,NCC54,OUT019,744.9346748295271,697.4415557293636
13,FDU11,OUT049,2041.9531209711413,1745.3542314729639
14,DRL59,OUT013,867.4715573077029,974.7391903977081
15,FDM24,OUT049,2414.736770802414,2679.3459065892944
16,FDI57,OUT045,3269.559034829371,2675.75800538083
17,DRC12,OUT018,3048.980595793892,2539.7027043541752
18,NCM42,OUT027,2713.5056399831124,2659.3513632292406
19,FDA46,OUT010,562.2427628770585,605.8293434810672
20,FDA31,OUT013,2786.000824164694,2679.3459065892944
21,NCJ31,OUT035,3924.856591593203,3676.5237942188273
22,FDG52,OUT046,831.8399058444243,974.7391903977081
23,NCL19,OUT019,318.3393034093429,606.12246714273
24,FDS10,OUT035,3121.905998862787,2695.1974241952094
25,FDX22,OUT010,580.6462430952778,700.9630571208847
26,NCF19,OUT035,815.210066066413,975.2677335452612
27,NCE06,OUT046,2718.8761891949193,2683.17334650151
28,DRC27,OUT046,3897.042618535064,3656.724596852401
29,FDE21,OUT035,1874.316479686572,1745.3542314729639
30,NCR42,OUT019,-96.64385607788105,573.2869745695981
31,FDX51,OUT018,3049.2841097150063,2539.7027043541752
32,NCR06,OUT018,689.2749655722508,975.8248691725796
33,FDU31,OUT027,5592.1843098315385,5433.756941314657
34,FDU59,OUT017,2723.229487961744,2679.3459065892944
35,FDR03,OUT027,5413.003000746632,5433.756941314657
36,FDS49,OUT027,2157.518405054785,2659.3513632292406
37,FDD48,OUT010,341.56608398509553,562.6489251226145
38,NCF18,OUT017,3259.495543957221,2679.3459065892944
39,NCD43,OUT027,2701.150634462809,2659.3513632292406
40,NCD54,OUT018,2015.66384128678,2539.7027043541752
41,FDY19,OUT010,341.869597906209,562.6489251226145
42,NCY54,OUT017,2775.0595645795192,2679.3459065892944
43,NCL19,OUT018,2022.6334806435598,2539.7027043541752
44,FDP23,OUT010,591.7943178417229,700.9630571208847
45,FDC26,OUT013,1764.2935128811316,1745.3542314729639
46,FDR14,OUT010,26.837140750941266,572.447752831895
47,NCS41,OUT035,3177.7046748209114,2695.1974241952094
48,FDF41,OUT035,3951.1893072508337,3676.5237942188273
49,FDU34,OUT046,1954.1490453477552,1745.3542314729639
50,DRH11,OUT046,993.7743578580178,974.7391903977081
51,FDM03,OUT013,1695.745791143484,1745.3542314729639
52,FDS31,OUT017,3116.1111737384917,2679.3459065892944
53,FDJ20,OUT017,1961.6510276290967,1745.3542314729639
54,FDV44,OUT027,5152.941637338897,4217.908874124449
55,FDG02,OUT049,3203.3244491125347,2679.3459065892944
56,FDA09,OUT013,3011.330424896917,2679.3459065892944
57,FDT04,OUT013,748.026535153255,974.7391903977081
58,FDL58,OUT019,781.61303776309,697.4415557293636
59,FDE52,OUT045,1384.8268716490309,1745.3542314729639
60,FDW12,OUT035,2296.4240484414668,2695.1974241952094
61,FDL51,OUT017,3538.6851884293037,3667.407930444468
62,NCY42,OUT027,3391.35344562084,4217.908874124449
63,FDR07,OUT017,1507.028501908644,1745.3542314729639
64,FDN40,OUT045,2338.395926834078,2675.75800538083
65,FDB35,OUT027,2527.468022482457,2659.3513632292406
66,FDA22,OUT017,2822.0121983369627,2679.3459065892944
67,NCL06,OUT046,3926.447828190733,3656.724596852401
68,FDI35,OUT013,3128.5733635347606,2679.3459065892944
69,NCW42,OUT045,3714.888585571875,3667.407930444468
70,NCX06,OUT049,3101.381698758866,2679.3459065892944
71,FDC37,OUT027,2824.0270200562445,2659.3513632292406
72,FDZ14,OUT018,1742.310662468072,1682.2463033346698
73,DRG49,OUT049,3896.7847651935604,3667.407930444468
74,NCG06,OUT045,3846.396978390967,3667.407930444468
75,DRC36,OUT045,2723.8518005028845,2675.75800538083
76,FDV21,OUT019,350.83203146269244,560.3183514266824
77,FDB53,OUT046,2407.492641862576,2683.17334650151
78,DRP47,OUT019,711.0246002225352,697.4415557293636
79,FDA14,OUT013,2233.1778489977273,2679.3459065892944
80,DRC24,OUT035,2464.255671168301,2695.1974241952094
81,FDW21,OUT018,1415.8958322592953,1682.2463033346698
82,NCH29,OUT046,1575.3719271950354,1745.3542314729639
83,FDU58,OUT013,3204.601114597366,2679.3459065892944
84,FDY27,OUT017,3012.927953343545,2679.3459065892944
85,FDV56,OUT035,1665.2587034272349,1745.3542314729639
86,FDT59,OUT046,3779.7910006075813,3656.724596852401
87,FDB23,OUT046,3767.2817947234757,3656.724596852401
88,FDR49,OUT045,839.806041433578,974.7391903977081
89,FDB03,OUT010,684.5650847563459,700.9630571208847
90,FDN39,OUT045,2723.8518005028845,2675.75800538083
91,FDX02,OUT027,5697.766655316816,5433.756941314657
92,FDQ16,OUT027,2824.0270200562445,2659.3513632292406
93,FDU35,OUT018,1380.3753044640896,1682.2463033346698
94,NCT29,OUT013,1889.0611148536968,1745.3542314729639
95,FDZ27,OUT046,824.3379235630824,974.7391903977081
96,FDN57,OUT017,2118.48282782194,2679.3459065892944
97,FDA03,OUT018,2022.936994564673,2539.7027043541752
98,FDZ36,OUT045,3141.987569706884,2675.75800538083
99,NCU05,OUT013,1251.0547900323156,1745.3542314729639
100,FDT39,OUT018,2195.654258982894,2539.7027043541752
101,FDK60,OUT017,1539.4076875762885,1745.3542314729639
102,FDZ25,OUT017,2792.948515531382,2679.3459065892944
103,FDG12,OUT046,1961.6510276290967,1745.3542314729639
104,DRB01,OUT019,576.7224699352753,606.12246714273
105,NCC43,OUT027,5818.205427527832,5433.756941314657
106,FDX13,OUT019,744.9346748295271,697.4415557293636
107,FDM22,OUT049,940.3849741367379,974.7391903977081
108,FDJ03,OUT027,1522.1147036991806,1347.4911101398345
109,FDU14,OUT018,3641.7562553756175,3299.218824482312
110,FDB33,OUT010,416.19865637310386,605.8293434810672
111,FDP27,OUT046,3266.465183314001,2683.17334650151
112,FDO38,OUT010,174.76506880608238,562.6489251226145
113,FDE28,OUT027,5857.916204534556,5433.756941314657
114,FDO27,OUT035,1525.3305383844058,1745.3542314729639
115,DRL23,OUT027,2737.256240286872,2659.3513632292406
116,FDS28,OUT046,1001.2763401393596,974.7391903977081
117,FDX24,OUT013,1448.742836761839,1745.3542314729639
118,FDZ02,OUT035,1535.7853287508153,1745.3542314729639
119,FDL46,OUT045,1782.0942415498623,1745.3542314729639
120,FDS60,OUT027,4780.751863431918,4217.908874124449
121,NCO06,OUT017,718.6450530389003,974.7391903977081
122,FDO16,OUT035,1421.6805076087853,1745.3542314729639
123,FDC60,OUT049,1396.7430511432556,1745.3542314729639
124,FDA48,OUT018,3375.32356731629,3299.218824482312
125,FDZ36,OUT027,5152.941637338897,4217.908874124449
126,FDK27,OUT045,1885.0523303192572,1745.3542314729639
127,FDW23,OUT018,666.4231700233423,975.8248691725796
128,FDM14,OUT018,1459.0585402382706,1682.2463033346698
129,FDM14,OUT013,1695.745791143484,1745.3542314729639
130,FDW60,OUT018,2801.089570463863,2539.7027043541752
131,FDE21,OUT013,1836.46014211643,1745.3542314729639
132,NCM42,OUT035,1663.1420873094162,1745.3542314729639
133,FDY59,OUT010,246.1333094912808,562.6489251226145
134,DRI49,OUT049,1249.4416570523715,1745.3542314729639
135,FDT28,OUT019,370.5338068768895,606.12246714273
136,FDQ22,OUT018,673.3140641553814,975.8248691725796
137,FDR60,OUT049,1212.5732786786314,1745.3542314729639
138,FDC50,OUT019,276.9231635753997,560.3183514266824
139,FDV24,OUT013,2357.543249824473,2679.3459065892944
140,DRF48,OUT010,479.1034420053524,605.8293434810672
141,FDQ47,OUT046,733.1166746770219,974.7391903977081
142,DRN36,OUT049,1539.1498342347838,1745.3542314729639
143,NCY06,OUT035,2001.3260947067447,1745.3542314729639
144,FDE52,OUT035,1445.7492930218475,1745.3542314729639
145,NCB54,OUT045,1844.2024490091242,1745.3542314729639
146,NCF31,OUT035,2454.6696912215657,2695.1974241952094
147,FDJ08,OUT027,5171.098688034204,4217.908874124449
148,NCC07,OUT017,1697.875662514674,1745.3542314729639
149,NCD19,OUT027,1628.3112965216055,1347.4911101398345
150,FDL46,OUT049,1845.468991848592,1745.3542314729639
151,FDM20,OUT045,3816.9917687352972,3667.407930444468
152,NCI06,OUT010,486.04752870117227,605.8293434810672
153,DRM11,OUT035,3987.564156263283,3676.5237942188273
154,NCH07,OUT018,2504.117951804169,2539.7027043541752
155,FDS23,OUT013,2033.111463584676,1745.3542314729639
156,FDO49,OUT018,762.6619643705799,975.8248691725796
157,FDS35,OUT049,1082.6828067447022,974.7391903977081
158,DRK39,OUT045,1300.0816635289634,1745.3542314729639
159,DRI39,OUT049,1040.8629904640557,974.7391903977081
160,FDV04,OUT017,2662.3880449566946,2679.3459065892944
161,NCN14,OUT035,3218.5545561310437,2695.1974241952094
162,FDH08,OUT013,3858.8460332469813,3667.407930444468
163,FDS20,OUT046,3164.4078674152747,2683.17334650151
164,FDV40,OUT049,1205.0712963972894,1745.3542314729639
165,FDZ48,OUT010,307.3482881710764,562.6489251226145
166,FDS24,OUT027,2371.284391986556,2659.3513632292406
167,FDK44,OUT049,2792.2261409612047,2679.3459065892944
